PA,wOBA,UBR,wGDP,SB,CS,1B,BB,HBP,IBB,playerid
512,.311,-1.9,0.7,0,0,70,49,2,1,4418
378,.311,-0.3,-0.6,0,0,51,28,1,1,15905
111,.311,-0.9,-0.3,0,0,6,19,2,1,7476
638,.311,3.5,-0.2,30,6,119,67,2,0,17620
319,.311,-1.6,-0.5,0,1,49,16,9,3,15937
156,.311,0.2,0.1,0,2,31,23,0,2,16451
390,.310,1.8,1.0,9,5,60,33,5,2,11038
249,.310,0.4,-1.3,0,0,33,29,1,2,12861
148,.310,0.9,-0.4,5,6,19,12,3,1,14329
318,.310,1.4,0.6,0,0,33,44,4,1,17766
131,.309,0.6,0.7,2,0,20,10,2,0,21635
448,.309,-2.0,1.1,0,0,45,40,12,0,19352
442,.309,-4.0,-1.9,1,0,78,20,1,0,10681
490,.309,1.9,1.5,10,0,46,54,6,3,12144
346,.309,-1.6,0.2,0,1,66,26,0,1,4579
375,.308,1.1,-1.7,0,0,58,19,6,3,9627
670,.308,-3.8,2.1,3,1,63,59,4,2,9785
19,.307,0.0,-0.5,1,0,2,3,0,0,13325
38,.307,0.3,-0.5,0,0,2,1,1,0,16285
242,.307,-0.7,-0.2,0,0,36,18,1,1,12371
233,.307,0.3,-0.9,1,0,29,16,2,0,15191
516,.307,1.1,-0.7,14,6,88,50,1,1,16997
438,.307,1.6,0.1,1,1,56,23,4,0,14551
231,.307,-0.1,0.3,1,1,34,14,1,2,20325
469,.306,-1.9,-1.1,1,1,61,41,6,0,26197
720,.306,1.8,-0.1,40,4,129,40,4,1,11281
136,.306,0.0,0.0,15,1,14,6,1,0,13769
574,.306,-3.1,-0.2,0,1,46,56,8,0,12552
271,.306,-1.0,1.2,1,0,33,33,1,0,12858
325,.306,0.0,-0.1,0,0,45,23,4,4,15679
150,.305,0.5,0.0,6,3,27,10,1,0,16947
394,.305,0.6,0.4,1,0,56,27,5,1,6609
461,.305,1.1,1.8,4,0,56,60,3,0,9927
362,.305,1.2,-0.4,4,1,38,39,1,0,5222
526,.305,-3.7,-2.1,0,0,90,40,5,0,1744
533,.305,2.8,-0.1,20,6,99,40,1,2,14350
145,.304,2.4,-0.3,17,6,28,16,1,1,15730
511,.304,0.5,-0.5,5,2,93,21,6,0,10231
445,.304,1.5,0.0,0,0,64,38,4,1,13419
331,.304,0.5,-0.5,2,1,69,21,2,0,15794
185,.303,-0.7,0.0,0,0,22,19,2,1,20503
381,.303,2.3,1.5,4,1,58,41,3,3,19955
87,.303,0.4,-0.1,4,0,14,9,0,1,16357
375,.303,-0.3,0.6,6,3,57,31,7,0,19844
204,.303,-0.5,1.1,2,2,16,27,1,2,15482
140,.303,-0.3,0.1,2,1,21,8,1,0,20220
296,.302,-1.1,-1.5,2,0,45,14,5,3,1177
361,.302,2.4,-1.1,3,1,62,14,5,1,14387
250,.302,-0.4,-1.0,1,0,39,14,2,1,18839
637,.302,1.6,-0.1,1,1,88,59,5,2,10556
262,.302,-0.5,0.5,0,1,29,29,1,0,27459
396,.301,0.6,-0.7,9,1,65,31,1,0,18577
284,.301,-2.8,-0.1,0,2,46,21,2,0,17838
464,.301,1.4,1.3,13,8,76,37,1,2,14712
691,.301,3.0,1.6,30,5,113,38,6,1,19470
111,.301,0.5,-0.1,2,2,17,5,3,0,19698
213,.301,0.2,0.9,0,0,19,15,9,0,19627
426,.301,-0.8,-0.5,3,0,70,29,10,0,15362
231,.300,-1.0,0.3,1,1,24,34,1,1,19181
301,.300,-2.3,1.0,1,0,39,31,8,0,21501
388,.300,0.3,-0.1,0,0,58,29,8,1,10200
77,.300,-0.6,0.2,0,0,16,3,0,0,18848
545,.300,-1.4,-1.9,0,3,75,27,3,0,10243
252,.300,-1.5,-0.2,0,0,30,18,2,0,3086
348,.300,0.0,0.6,15,3,50,30,15,0,16221
419,.299,-2.8,-0.8,0,0,65,34,1,1,14523
511,.299,1.5,0.0,7,5,80,34,15,0,19294
220,.298,1.2,0.1,5,1,35,8,0,0,15487
294,.298,-1.5,0.3,3,1,38,37,1,2,19252
170,.298,0.6,-0.7,0,0,17,22,2,0,13329
373,.297,0.3,1.3,4,2,69,24,3,0,10953
352,.297,-1.7,-0.1,1,0,43,36,3,1,4962
347,.297,0.4,1.0,4,3,47,11,10,0,12434
255,.296,0.6,0.8,3,1,40,4,4,0,11902
260,.296,2.4,0.5,6,1,43,20,2,0,20202
157,.296,-0.1,-0.5,1,0,25,17,0,0,13770
127,.294,-0.8,0.7,0,0,21,9,0,0,6547
263,.294,0.7,1.3,0,0,18,34,0,4,15055
251,.294,1.1,0.3,1,0,28,11,2,0,14773
659,.294,-0.9,0.3,2,0,87,86,3,3,2396
238,.294,1.0,0.9,7,1,30,21,2,0,16375
97,.293,-0.7,0.4,1,0,15,8,0,0,12758
402,.293,0.1,0.3,4,1,40,35,9,0,18015
412,.293,0.1,-1.5,10,5,57,49,6,1,10815
82,.293,0.7,0.3,0,0,12,9,0,0,17062
543,.293,0.8,-1.2,5,4,56,43,7,0,15117
677,.293,3.0,-0.1,20,5,136,28,11,2,16512
182,.292,-0.6,0.5,1,0,26,15,0,0,11200
347,.292,2.9,0.5,0,0,36,32,9,3,18721
271,.292,0.5,0.6,7,1,38,17,2,1,3298
184,.292,-1.4,0.5,2,1,15,15,1,0,19331
247,.291,0.8,-0.3,0,2,31,11,0,1,20391
229,.291,0.0,-0.9,0,0,25,17,2,0,7739
209,.291,0.4,0.9,10,3,32,9,4,0,17273
339,.291,0.0,0.0,1,1,72,14,1,0,14691
325,.291,0.7,-0.7,0,0,37,40,2,0,13499
493,.291,-3.3,-0.3,2,1,78,32,9,2,15653
86,.291,-0.6,-0.1,0,0,9,11,2,0,5409
473,.290,-2.8,-2.7,3,0,81,24,5,1,7007
361,.289,1.3,1.0,0,1,38,27,11,2,12282
293,.289,-1.8,0.1,0,1,28,22,4,0,24618
218,.289,-1.1,-1.5,2,0,20,32,3,0,15983
498,.289,-2.8,-2.0,8,4,88,33,2,0,9774
231,.289,-0.6,0.6,0,0,25,26,4,4,12510
98,.289,0.6,0.0,2,0,18,8,0,0,19890
67,.289,,,0,0,12,4,0,0,13743
250,.289,-1.7,1.3,0,0,24,24,3,0,11982
217,.289,1.1,-0.1,0,0,34,15,2,0,15674
78,.288,-0.4,-0.7,0,0,11,4,2,0,3648
494,.288,3.0,1.1,17,7,68,33,3,2,19262
128,.288,-0.6,0.4,0,0,12,6,0,1,18365
162,.288,0.6,-1.7,0,1,31,7,0,0,15878
60,.288,,,0,0,8,0,0,0,15038
55,.287,0.0,-0.5,0,0,3,1,1,0,14503
198,.287,0.0,-0.2,4,1,23,11,7,0,11339
45,.287,-0.3,0.4,0,1,9,6,0,1,12005
310,.287,-1.2,0.2,3,2,33,33,1,0,15170
124,.286,1.5,0.1,2,5,23,12,0,0,19293
325,.286,0.2,-0.4,14,5,40,29,4,0,12092
16,.286,0.0,-0.3,0,0,3,1,0,0,22164
528,.286,1.5,-0.6,14,7,89,33,5,0,11489
77,.286,-0.6,-0.8,0,0,11,8,0,0,14636
417,.285,-1.9,-1.0,4,0,72,31,2,0,21618
225,.285,0.4,-0.4,1,0,29,20,4,1,12158
290,.284,-0.8,0.1,5,0,33,17,3,0,15402
208,.284,-0.6,-0.5,0,0,27,19,1,0,10324
206,.284,0.0,-0.3,0,0,20,18,2,0,4892
108,.283,0.6,0.0,2,2,19,10,0,0,19931
108,.283,-0.6,-1.1,0,0,14,4,0,0,19533
216,.283,0.6,-1.4,10,1,34,12,3,0,16337
158,.283,-0.2,-0.3,0,0,26,6,0,0,3892
172,.282,0.2,-0.4,1,1,18,10,1,1,19392
271,.282,3.6,-0.5,8,4,34,32,3,0,12037
131,.282,-0.3,0.1,2,2,18,13,0,0,17326
107,.282,-0.9,-0.2,1,1,16,6,2,0,8553
247,.282,-0.7,-1.0,0,0,35,12,11,0,8259
75,.282,0.0,-0.1,0,0,6,8,0,0,20275
93,.281,-0.3,-0.4,0,0,10,6,1,0,21987
412,.281,-1.3,-1.1,1,2,64,32,2,1,12859
115,.281,1.3,-0.1,6,0,11,10,2,0,18353
154,.280,0.3,-0.5,1,0,16,9,3,0,13593
126,.279,-0.1,0.0,0,0,14,14,2,0,5297
150,.279,-0.2,-0.5,1,1,15,18,1,1,18027
176,.279,0.1,0.1,4,2,21,23,0,0,22458
255,.279,0.1,0.2,3,0,31,30,2,2,16417
188,.279,-1.2,0.1,1,0,25,13,2,0,13367
247,.278,-0.1,0.1,1,0,34,28,5,1,12950
187,.278,-1.2,-0.2,2,1,28,9,1,2,16530
12,.277,0.2,0.0,0,0,3,1,0,0,6938
124,.277,0.0,-0.3,1,2,19,1,1,0,17321
210,.277,-0.1,0.7,11,0,26,11,7,0,19950
74,.277,0.3,-0.3,1,0,6,4,6,1,16959
300,.277,-0.3,0.3,2,0,28,32,1,2,15654
56,.277,0.1,0.0,0,0,9,4,0,0,21646
124,.276,0.0,0.1,0,0,21,8,0,0,12981
213,.276,1.0,0.1,1,1,33,13,5,2,17932
26,.276,,,0,0,1,5,0,0,17479
46,.276,0.3,0.2,0,0,7,3,1,0,20540
249,.275,-0.5,-1.2,0,0,33,25,5,2,19958
382,.275,-0.1,-0.1,14,1,45,36,2,2,12907
163,.275,-1.3,0.1,0,0,18,9,0,0,1433
54,.275,-0.9,-0.2,1,2,8,1,0,0,16446
62,.275,0.5,0.1,4,3,5,6,4,0,13546
408,.275,0.8,0.4,3,0,46,25,8,1,6012
290,.275,0.1,-0.4,1,1,39,13,1,0,14352
133,.275,1.3,-0.1,0,1,21,7,2,0,20352
353,.275,0.8,0.7,5,1,44,27,3,1,4940
81,.274,-0.2,0.3,1,0,13,4,0,0,19643
254,.274,-1.7,-0.2,0,0,38,13,2,0,16442
327,.274,0.8,-0.9,1,2,45,12,1,0,5384
85,.274,-1.8,-0.5,0,0,10,10,1,1,20036
114,.274,-0.2,-0.2,0,0,12,10,0,0,9112
344,.274,1.2,0.4,2,1,59,19,1,2,11400
32,.274,,,0,0,4,0,0,0,20468
369,.274,-2.1,-0.1,8,6,40,33,16,3,18363
311,.274,0.0,-0.9,8,1,52,11,5,0,12180
30,.274,-0.8,0.1,0,0,4,1,0,0,8879
356,.273,-2.9,-2.1,2,0,55,35,4,8,14968
665,.273,2.3,-0.2,15,3,132,31,1,1,17992
143,.273,-1.6,0.3,0,1,22,12,1,0,16852
216,.272,-1.7,-1.7,0,0,34,3,4,0,15608
240,.272,0.3,-0.1,2,0,21,12,2,4,19348
211,.272,-1.6,0.0,0,0,15,17,0,0,5517
377,.271,0.4,-0.6,21,5,35,40,4,0,18042
56,.271,0.4,-0.2,1,0,5,3,3,0,23378
38,.271,-1.2,-0.4,0,0,7,3,0,1,11338
288,.271,0.8,0.0,3,0,33,22,7,0,11205
450,.271,1.6,0.6,9,4,61,23,8,1,17338
82,.270,-0.1,0.4,1,0,10,8,4,0,16271
295,.270,-1.2,-0.3,0,1,49,19,4,0,17468
377,.270,1.6,0.4,6,4,33,36,3,0,22558
37,.270,0.2,-0.2,0,1,5,4,0,1,11859
298,.270,0.3,0.5,6,1,32,22,4,1,27506
238,.270,-0.1,0.6,0,0,27,26,0,2,5000
541,.270,4.9,-1.5,12,2,91,31,6,2,8709
178,.270,0.4,0.6,2,3,10,17,3,0,19960
473,.269,0.4,0.0,7,2,58,34,2,3,12147
249,.269,-0.8,1.0,2,0,20,35,6,1,8090
121,.268,-0.8,-0.4,1,0,13,9,0,0,16542
169,.268,-1.7,0.5,2,0,14,15,2,0,19683
186,.268,0.5,1.0,0,1,29,18,2,0,18889
327,.268,-0.9,-1.5,0,1,38,27,5,0,14593
33,.267,0.3,0.0,0,0,5,1,0,0,21562
69,.267,0.1,0.0,1,0,8,4,0,0,19314
104,.265,0.4,0.1,0,0,9,6,1,0,18887
23,.265,,,0,0,1,1,1,0,17277
61,.265,0.3,0.1,0,0,3,8,0,0,16729
166,.265,0.8,0.1,11,2,26,17,4,0,19432
90,.265,0.0,0.1,0,0,8,12,3,1,14145
181,.264,-0.1,0.3,0,0,25,15,0,0,14553
45,.263,-0.2,0.3,0,0,2,2,2,0,16448
403,.263,0.1,-1.1,0,0,46,20,3,0,12179
135,.262,0.6,0.6,9,0,15,4,0,0,10199
89,.262,0.2,0.2,1,0,13,7,0,0,4922
302,.261,-2.0,-3.1,1,1,49,12,0,1,16725
127,.261,-0.1,0.4,4,2,13,10,1,0,10322
