"Name","Team","G","playerid"
"Mike Ford","NYY","22","15585"
"Eli White","TEX","64","19346"
"Isan Diaz","MIA","89","17922"
"Travis Blankenhorn","- - -","24","18395"
"Andrew Velazquez","NYY","28","14196"
"Andrelton Simmons","MIN","131","10847"
"Roberto Perez","CLE","44","2900"
"Will Craig","PIT","18","19267"
"Keston Hiura","MIL","61","20003"
"Kevin Newman","PIT","148","17696"
"Jarren Duran","BOS","33","24617"
"David Dahl","TEX","63","13744"
"Richie Martin","BAL","37","17736"
"Alan Trejo","COL","28","20056"
"Orlando Arcia","- - -","36","13185"
"Joe Panik","- - -","95","11936"
"Erik Gonzalez","PIT","71","13369"
"Henry Ramos","ARI","18","11481"
"Aramis Garcia","OAK","32","16925"
"Luis Rengifo","LAA","54","19858"
"Shogo Akiyama","CIN","88","27461"
"Jarrod Dyson","- - -","102","4866"
"Dexter Fowler","LAA","7","4062"
"Steven Souza Jr.","LAD","17","5667"
"Owen Miller","CLE","60","24655"
"Jake Cave","MIN","76","14477"
"Brian Miller","MIA","5","20047"
"Sam Haggerty","SEA","35","18054"
"Magneuris Sierra","MIA","123","17023"
"Bryan Holaday","ARI","13","11287"
"Ka'ai Tom","- - -","48","18136"
"Pat Valaika","BAL","91","14885"
"Andrew Knizner","STL","63","19514"
"Tim Locastro","- - -","64","15124"
"Cody Bellinger","LAD","95","15998"
"Austin Romine","CHC","28","5491"
"Austin Wynns","BAL","45","15271"
"Josh Palacios","TOR","13","19818"
"Luke Raley","LAD","33","19354"
"Tucupita Marcano","SDP","25","22871"
"Rio Ruiz","- - -","62","14103"
"Cal Raleigh","SEA","47","21534"
"Corey Ray","MIL","1","19170"
"Drew Ellis","ARI","28","19873"
"Zack Short","DET","61","19562"
"Alejo Lopez","CIN","14","21127"
"Justin Williams","STL","51","15490"
"Patrick Mazeika","NYM","37","18142"
"Austin Hedges","CLE","88","12976"
"Ben Rortvedt","MIN","39","20287"
"Jack Lopez","BOS","7","13663"
"Alex Jackson","- - -","52","17276"
"Scott Heineman","CIN","19","14453"
"Sandy Leon","MIA","84","5273"
"Michael Perez","PIT","70","12977"
"Luis Marte","MIA","4","14515"
"Jackie Bradley Jr.","MIL","134","12984"
"Chad Wallach","MIA","23","17161"
"Andrew Romine","CHC","26","1159"
"Franchy Cordero","BOS","48","14567"
"Sebastian Rivero","KCR","17","21735"
"Braden Bishop","SEA","8","17806"
"Luis Barrera","OAK","6","19615"
"Matt Joyce","PHI","43","3353"
"Wyatt Mathisen","ARI","23","14555"
"Jay Bruce","NYY","10","9892"
"Chris Gittens","NYY","16","18482"
"Colton Welker","COL","19","19961"
"Sheldon Neuse","LAD","33","19635"
"Anthony Bemboom","LAA","8","13854"
"Monte Harrison","MIA","9","17216"
"Tony Wolters","CHC","14","11470"
"Jonathan Davis","- - -","64","15104"
"Leody Taveras","TEX","49","18900"
"Jacob Wilson","- - -","12","13254"
"Stuart Fairchild","ARI","12","20321"
"Mike Freeman","CIN","37","11241"
"Chance Sisco","- - -","28","15694"
"Garrett Stubbs","HOU","18","18067"
"Wilfredo Tovar","NYM","6","10416"
"Mark Payton","CIN","24","16042"
"JaCoby Jones","DET","36","14818"
"Dustin Fowler","PIT","18","17098"
"Gilberto Celestino","MIN","23","20233"
"Matt Adams","COL","22","9393"
"Evan White","SEA","30","20078"
"Jared Oliva","PIT","20","19968"
"Andrew Knapp","PHI","62","14942"
"Matt Thaiss","LAA","3","19318"
"Kevan Smith","- - -","33","12284"
"Robel Garcia","HOU","47","13167"
"Jose Godoy","SEA","16","15808"
"Ildemaro Vargas","- - -","34","13324"
"Stevie Wilkerson","BAL","31","16041"
"Kean Wong","LAA","32","15994"
"Jahmai Jones","BAL","26","18872"
"Adam Haseley","PHI","9","19878"
"Kevin Smith","TOR","18","20242"
"Edwin Rios","LAD","25","18316"
"Jake Hager","- - -","14","12198"
"Nick Heath","ARI","20","19577"
"Rob Brantly","NYY","6","10655"
"Troy Stokes Jr.","PIT","8","17478"
"Kevin Padlo","- - -","10","16593"
"Domingo Leyba","- - -","34","16404"
"Nick Williams","CHW","4","14330"
"Todd Frazier","PIT","13","785"
"Scott Schebler","LAA","14","12225"
"Vimael Machin","OAK","15","17684"
"Ronald Guzman","TEX","7","14388"
"Cristian Pache","ATL","22","19948"
"Mickey Moniak","PHI","21","19956"
"Hunter Owen","PIT","3","20034"
"Albert Almora Jr.","NYM","47","14109"
"Tim Lopes","MIL","7","14137"
"Luis Campusano","SDP","11","22217"
"Jaylin Davis","SFG","5","19552"
"Greg Deichmann","CHC","14","19872"
"Trent Giambrone","CHC","5","19250"
"Cameron Maybin","NYM","9","5223"
"Curtis Terry","TEX","13","18881"
"Pete Kozma","OAK","3","2539"
"Jorge Bonifacio","PHI","7","12174"
"Skye Bolt","- - -","34","17723"
"Hernan Perez","WSN","10","5751"
"Jose Lobaton","CHC","6","4243"
"Ryan Vilade","COL","3","22165"
"Ryan Dorow","TEX","3","23559"
"Dillon Thomas","SEA","4","12719"
"Anderson Tejeda","TEX","5","19909"
"Drew Butera","LAA","12","3411"
"P.J. Higgins","CHC","9","18433"
"Yairo Munoz","BOS","5","16313"
"Johan Camargo","ATL","15","14950"
"Khalil Lee","NYM","11","19952"
"Vidal Brujan","TBR","10","20536"
"Max Moroff","STL","6","14556"
"Scott Kingery","PHI","15","17975"
"Tyler Ladendorf","CHC","1","3211"
"Jeff Mathis","ATL","3","3448"
"Sean Kazmar jr.","ATL","3","7349"
"Jared Hoying","TOR","2","10882"
"Humberto Arteaga","WSN","1","13595"
"Tzu-Wei Lin","MIN","1","14678"
"Joseph Odom","TBR","2","15535"
"Taylor Gushue","CHC","2","16098"
"Trey Amburgey","NYY","2","18425"
"Jacob Robson","DET","4","19528"
"Otto Lopez","TOR","1","19608"
"Jack Kruger","LAA","1","19634"
"Zach Reks","LAD","6","19667"
"Scott Hurst","STL","7","20501"
"Tyler Payne","CHC","1","21139"
"Cody Wilson","WSN","1","24671"
